id,brand,product,net_weight_lb,species,coated,retailers_seen,coverage_new_lawn_sqft,coverage_overseed_sqft,coverage_unlabeled_sqft,unlabeled_equals_overseed,alt_new_lawn_sqft_other_retailer,rate_new_lb_per_1000,rate_overseed_lb_per_1000,rate_unlabeled_lb_per_1000,extension_rate_min,extension_rate_max,price_usd,price_per_lb_usd,collected,coated_source
1,Barenbrug,Kentucky 31 Tall Fescue,5,tall fescue,,Walmart,,,1000,,,,,5.0,6,8,,,2026-09-07,
2,Barenbrug,Kentucky 31 Tall Fescue,25,tall fescue,,Walmart,,,,,,,,,6,8,,,2026-09-07,
3,Expert Gardener,Tall Fescue Drought Resistant Mix,7,tall fescue mix,,Walmart,,,,,,,,,,,18.47,2.64,2026-09-07,
4,GreenView,Pure Grass Seed Dense Shade,3,mix,,Walmart,,,1500,,,,,2.0,,,19.99,6.66,2026-09-07,
5,GreenView,Pure Grass Seed KBG Blend,3,kentucky bluegrass,,Walmart,,,3000,,,,,1.0,2,3,24.01,8.00,2026-09-07,
6,GreenView,Pure Grass Seed KBG Blend,20,kentucky bluegrass,,Home Depot,,,20000,,,,,1.0,2,3,,,2026-09-07,
7,Jonathan Green,Black Beauty (40 lb),40,mix,,Lowe's,3330,8000,,,,12.01,5.0,,,,,,2026-09-07,
8,Jonathan Green,Black Beauty Ultra,25,mix,,Lowe's,,,5000,,,,,5.0,,,,,2026-09-07,
9,Pennington,Annual Ryegrass,20,annual ryegrass,,Walmart,,,,,,,,,,,24.97,1.25,2026-09-07,
10,Pennington,Kentucky 31 TF Penkoted,50,tall fescue,yes,Walmart,4165,10000,,,,12.0,5.0,,6,8,109.97,2.20,2026-09-07,product name (Penkoted)
11,Pennington,Kentucky 31 Tall Fescue,3,tall fescue,,Walmart,,,600,,,,,5.0,6,8,8.97,2.99,2026-09-07,
12,Pennington,Kentucky 31 Tall Fescue,20,tall fescue,,Lowe's; Walmart,1660,4000,,,1600,12.05,5.0,,6,8,30.00,1.50,2026-09-07,
13,Pennington,Kentucky 31 Tall Fescue,40,tall fescue,yes,Home Depot; Walmart,3330,8000,8000,yes,,12.01,5.0,5.0,6,8,38.96,0.97,2026-09-07,Lowe's 40 lb listing and Home Depot 40 lb listing describe Penkoted coating
14,Pennington,Kentucky Bluegrass Northern Mix,3,kentucky bluegrass mix,,Walmart,,,,,,,,,,,18.44,6.15,2026-09-07,
15,Pennington,"Smart Seed (3 lb, shade)",3,mix,,Lowe's,250,750,,,,12.0,4.0,,,,,,2026-09-07,
16,Pennington,Smart Seed Clover and Grass Mix,7,clover+grass,,Tractor Supply,,,1400,,,,,5.0,,,,,2026-09-07,
17,Pennington,Smart Seed Kentucky Bluegrass,3,kentucky bluegrass,,Home Depot; Lowe's,1000,2000,2000,yes,,3.0,1.5,1.5,2,3,,,2026-09-07,
18,Pennington,Southern Contractors Mix,40,mix,,Walmart,,,,,,,,,,,84.97,2.12,2026-09-07,
19,Pennington,The Rebels Tall Fescue,20,tall fescue,,Lowe's,1660,5000,,,,12.05,4.0,,6,8,,,2026-09-07,
20,Scotts,Drought Tolerant Mix,4,mix,,Walmart,,,2000,,,,,2.0,,,29.67,7.42,2026-09-07,
21,Scotts,Drought Tolerant Mix,10,mix,,Walmart,,,5000,,,,,2.0,,,69.97,7.00,2026-09-07,
22,Scotts,Grass Seed Bermudagrass,1,bermudagrass,,Walmart,,,1000,,,,,1.0,1,2,19.94,19.94,2026-09-07,
23,Scotts,Heritage Grass Seed Tall Fescue Mix,7,tall fescue mix,,Lowe's,1165,3500,,,,6.01,2.0,,,,,,2026-09-07,
24,Scotts,Heritage Sun & Shade Mix (UNCOATED),7,mix,no,Home Depot,1865,5600,,,,3.75,1.25,,,,,,2026-09-07,product name (UNCOATED)
25,Scotts,Rapid Grass Sun & Shade,16,mix,,Home Depot,,,8000,,,,,2.0,,,,,2026-09-07,
26,Scotts,Rapid Grass Sun & Shade Mix,5.6,mix,,Lowe's,839,2800,,,,6.67,2.0,,,,,,2026-09-07,
